Name,Region_1depth_Name,Region_2depth_Name,Region_3depth_Name,Category,Latitude,Longitude
석산참숯가마삼겹살 송천점,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 삼겹살",35.8661923,127.1235753
장어야놀자,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 해물,생선 > 장어",35.86511139,127.1203229
산이솔이야,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 일식 > 돈까스,우동",35.86298338,127.1158976
지니펍,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 술집 > 호프,요리주점",35.86785542,127.1223898
도싯골묵은지삼겹살 송천동직영점,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 삼겹살",35.86618603,127.1226541
해미별궁 본점,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 해물,생선",35.86469665,127.1195815
양누리 송천점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 중식 > 양꼬치,35.865167,127.1150748
진수곱창 송천점,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 곱창,막창",35.86706668,127.1225359
중화정 송천점,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 중식 > 양꼬치,35.86618693,127.1226541
호남각,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 한식 > 한정식,35.86502414,127.1136662
화산춘,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 갈비",35.86387301,127.1221678
착한낙지 덕진구직영점,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 해물,생선",35.86421288,127.1211829
동해회집,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 해물,생선 > 회",35.86465897,127.1220981
라보테 송천점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 양식,35.8653934,127.1213054
상무초밥 전주송천점,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 일식 > 초밥,롤",35.86639563,127.1212637
송천참옻닭,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 육류,고기 > 닭요리",35.86484874,127.1198131
마이산피순대 본점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 한식 > 순대,35.86605381,127.1150982
KFC 전주송천점,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 패스트푸드 > KFC,35.86415427,127.1221029
강남칼국수,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 한식 > 국수 > 칼국수,35.86365195,127.1160646
한가람,전북특별자치도,전주시 덕진구,덕진동2가,"음식점 > 한식 > 육류,고기",35.85161514,127.1193859
맥도날드 전주송천DT점,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 패스트푸드 > 맥도날드,35.86502321,127.1219714
산이솔이야,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 일식 > 돈까스,우동",35.86298338,127.1158976
계경목장 전주본점,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 육류,고기",35.85648231,127.1189946
석산참숯가마삼겹살 송천점,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 삼겹살",35.8661923,127.1235753
용소루,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 중식 > 중국요리,35.86183222,127.1152227
솔가숯불갈비 송천점,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 육류,고기 > 갈비",35.86509015,127.1199331
명륜진사갈비 전주송천점,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 육류,고기 > 갈비 > 명륜진사갈비",35.85736897,127.120971
장어명가청산 송천점,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 해물,생선 > 장어",35.86364867,127.1157192
콩나루콩나물국밥 송천점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 한식 > 국밥,35.8608786,127.1226061
황씨네대가추어탕,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 해물,생선 > 추어",35.85746202,127.1180296
자금성,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 중식 > 중국요리,35.867042,127.1219866
해미별궁 본점,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 해물,생선",35.86469665,127.1195815
손가네바지락손칼국수 전주점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 한식 > 국수 > 칼국수,35.86099981,127.1221722
고귀,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 육류,고기",35.8535773,127.1192604
장어야놀자,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 해물,생선 > 장어",35.86511139,127.1203229
영아네밥상,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 한식,35.85668507,127.1181004
마야복분자왕족발보쌈,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 육류,고기 > 족발,보쌈",35.86373238,127.1167645
정성돌짬뽕 본점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 중식 > 중국요리,35.85805825,127.121147
김가네보쌈족발,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 족발,보쌈",35.86570296,127.1235347
바다횟집,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 해물,생선 > 회",35.86648669,127.1221275
동창갈비 본점,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 육류,고기 > 갈비",35.86495183,127.1212571
킹아구해물찜,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 해물,생선 > 아구",35.86335902,127.1170119
생생집,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 한식,35.85986108,127.1171906
도싯골묵은지삼겹살 송천동직영점,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 삼겹살",35.86618603,127.1226541
본죽&비빔밥cafe 전주송천점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 퓨전요리 > 퓨전한식 > 본죽&비빔밥cafe,35.8613572,127.1216878
라라코스트 전주송천점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 패밀리레스토랑,35.86411594,127.1277573
배스킨라빈스 전주송천점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 간식 > 아이스크림 > 배스킨라빈스,35.85990185,127.121514
중화정 송천점,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 중식 > 양꼬치,35.86618693,127.1226541
가마골보신탕,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 사철탕,영양탕",35.86074588,127.1164988
정담떡방,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 간식 > 떡,한과",35.86115356,127.1234081
김종구식맛치킨 송천센트럴점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 치킨,35.85513193,127.1192948
십장생,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 갈비",35.86444042,127.1133642
고기싸롱 전주송천점,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 육류,고기 > 고기싸롱",35.86543266,127.1208006
다원추어탕,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 해물,생선 > 추어",35.86088092,127.1220923
고궁 전주본점,전북특별자치도,전주시 덕진구,덕진동2가,음식점 > 한식,35.85005952,127.1194411
한가람,전북특별자치도,전주시 덕진구,덕진동2가,"음식점 > 한식 > 육류,고기",35.85161514,127.1193859
족보설렁탕,전북특별자치도,전주시 덕진구,덕진동2가,음식점 > 한식 > 설렁탕,35.84951004,127.119148
짬뽕지존 덕진점,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 중식 > 중국요리,35.84354675,127.1233011
더담다 전북대본점,전북특별자치도,전주시 덕진구,덕진동1가,"음식점 > 일식 > 돈까스,우동",35.84484801,127.1260505
덕진헌,전북특별자치도,전주시 덕진구,덕진동1가,"음식점 > 한식 > 육류,고기",35.85081683,127.1227644
해이루 전북대본점,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 한식 > 감자탕,35.84371418,127.1252406
