구별,위반일자,위반시간,위반장소,위반내용
완산구,2023-01-04,,완산구 서신동 825-8,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-04,,완산구 동서학동 952,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-04,,완산구 삼천동1가 447-1,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-01-03,,덕진구 건지4길 10,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-03,,덕진구 건지4길 10,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-03,,덕진구 금암1길 28 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-03,,덕진구 금암1길 28 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-03,,덕진구 금암1길 28 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-03,,덕진구 금암6길 37 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-03,,완산구 전주객사1길 79 부근,쓰레기혼합배출
완산구,2023-01-03,,완산구 전주객사1길 79 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-03,,완산구 삼천동1가 709 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-01-02,,덕진구 건지4길 10,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-02,,덕진구 건지4길 10,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-02,,덕진구 건지4길 13-9 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-02,,완산구 어은로 9 부근,쓰레기혼합배출
완산구,2023-01-02,,완산구 어은로 9 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-01,,완산구 평화동2가 821 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-01-01,,완산구 평화동1가 406-3 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-01-01,,완산구 효자동3가 1391 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-01-01,,완산구 중화산동2가 선너머네거리,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-12-31,,"전라북도 전주시 덕진구 송천동2가 159-27, 동부대로",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-12-31,,"전라북도 전주시 덕진구 송천동2가 41-32, GS칼텍스 앞",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-12-30,,"덕진구 팔복로 253, CU편의점 앞",운반장비(차량 등) 이용 폐기물 투기
완산구,2022-12-29,,완산구 서곡1길 24 부근,재활용혼합배출
완산구,2022-12-29,,완산구 서곡1길 25 부근,재활용혼합배출
완산구,2022-12-28,,완산구 중화산동 2가 662-5 부근,재활용혼합배출
