도로명 주소,지번 주소,위도,경도,주택유형구분,세대수(객실수),건축연도
전북특별자치도 전주시 완산구 범안1길 16-4,전북특별자치도 전주시 완산구 효자동2가 1163-7,35.81267365,127.1081596,단독주택,15,2008-07-14
전북특별자치도 전주시 덕진구 가재미1길 18,전북특별자치도 전주시 덕진구 인후동1가 878-10,35.82820859,127.160756,단독주택,16,2008-07-16
전북특별자치도 전주시 덕진구 반월5길 8-12,전북특별자치도 전주시 덕진구 반월동 374-1,35.87350946,127.0690927,단독주택(다가구),13,2008-07-17
전북특별자치도 전주시 덕진구 한배미6길 16-1,전북특별자치도 전주시 덕진구 인후동1가 954-3,35.82341381,127.1683875,제2종근린생활시설,12,2008-07-18
전북특별자치도 전주시 완산구 하거마7길 44,전북특별자치도 전주시 완산구 삼천동1가 603-8,35.79828501,127.1172674,단독주택,9,2008-07-18
전북특별자치도 전주시 완산구 서신천변8길 5,전북특별자치도 전주시 완산구 서신동 828-10,35.82867212,127.1147432,단독주택,10,2008-07-18
전북특별자치도 전주시 덕진구 아중천2길 44,전북특별자치도 전주시 덕진구 산정동 877-9,35.83638049,127.1709388,다가구,10,2008-07-23
전북특별자치도 전주시 완산구 서곡3길 4-29,전북특별자치도 전주시 완산구 효자동3가 1416-6,35.83637564,127.1017201,단독주택,9,2008-07-24
전북특별자치도 전주시 덕진구 중상보로 13-10,전북특별자치도 전주시 덕진구 우아동2가 877-9,35.833401,127.1688477,단독주택(다가구),15,2008-07-29
전북특별자치도 전주시 완산구 안행9길 25-12,전북특별자치도 전주시 완산구 효자동1가 684-6,35.8022457,127.133109,단독주택,8,2008-07-29
전북특별자치도 전주시 덕진구 한배미6길 20-6,전북특별자치도 전주시 덕진구 인후동1가 954-7,35.82336796,127.1682448,단독주택,12,2008-08-01
전북특별자치도 전주시 완산구 서곡2길 10-8,전북특별자치도 전주시 완산구 효자동3가 1461-6,35.83372227,127.101265,단독주택,2,2008-08-01
전북특별자치도 전주시 덕진구 팽나무3길 6-12,전북특별자치도 전주시 덕진구 인후동1가 771-14,35.83521342,127.152831,다가구주택(11가구),11,2008-08-04
